Freq,Range,Doppler,Pol,AMP PROCESSING,Amp,Antena_channel
1.200,500,5.469,90,78,11,7
1.200,505,0.781,90,72,10,1
1.200,510,-3.906,90,72,10,13
1.200,515,5.469,90,78,11,7
1.200,520,-0.781,90,72,10,9
1.200,525,-3.906,90,72,10,13
1.200,530,5.469,90,78,11,7
1.200,535,-0.781,90,72,10,9
1.200,540,-3.906,90,72,10,13
1.200,545,-2.344,90,72,10,11
1.200,550,5.469,90,72,10,7
1.200,555,-3.906,90,72,10,13
1.200,560,-3.906,90,72,10,13
1.200,565,-2.344,90,72,10,11
1.200,570,0.781,90,72,10,1
1.200,575,-3.906,90,72,10,13
1.200,580,-0.781,90,78,11,9
1.200,585,0.781,90,72,10,1
1.200,590,-0.781,90,72,10,9
1.200,595,0.781,90,78,11,1
1.200,600,0.781,90,72,10,1
1.200,605,0.781,90,72,10,1
1.200,610,0.781,90,78,11,1
1.200,615,0.781,90,78,11,1
1.200,620,0.781,90,72,10,1
1.200,625,0.781,90,78,11,1
1.200,630,0.781,90,78,11,1
1.200,635,0.781,90,72,10,1
1.200,640,0.781,90,78,11,1
1.200,645,0.781,90,78,11,1
1.200,650,-5.469,90,72,10,15
1.200,655,0.781,90,72,10,1
1.200,660,0.781,90,78,11,1
1.200,665,-5.469,90,72,10,15
1.200,670,0.781,90,72,10,1
1.200,675,0.781,90,78,11,1
1.200,680,-5.469,90,72,10,15
1.200,685,0.781,90,72,10,1
1.200,690,0.781,90,72,10,1
1.200,695,-5.469,90,72,10,15
1.300,60,-3.906,90,78,11,13
1.300,65,5.469,90,72,10,7
1.300,70,3.906,90,72,10,5
1.300,75,-3.906,90,78,11,13
1.300,80,5.469,90,78,11,7
1.300,85,-0.781,90,72,10,9
1.300,90,-5.469,90,72,10,15
1.300,95,-5.469,90,78,11,15
1.300,100,5.469,90,72,10,7
1.300,105,-0.781,90,72,10,9
1.300,110,-5.469,90,78,11,15
1.300,115,5.469,90,78,11,7
1.300,120,-0.781,90,72,10,9
1.300,125,-5.469,90,78,11,15
1.300,130,5.469,90,72,10,7
1.300,135,3.906,90,72,10,5
1.300,140,-5.469,90,78,11,15
1.300,145,5.469,90,78,11,7
